Date/Time	SOI
1883-07	-1.07
1883-08	0.06
1883-09	-0.81
1883-10	0.36
1883-11	0.17
1883-12	-1.80
1884-01	-1.40
1884-02	-0.61
1884-03	0.88
1884-04	-1.60
1884-05	0.22
1884-06	0.98
1884-07	-0.34
1884-08	-0.63
1884-09	-0.70
1884-10	0.38
1884-11	-0.24
1884-12	-1.52
1885-01	-1.78
1885-02	0.04
1885-03	0.39
1885-04	0.16
1885-05	0.16
1885-06	-1.91
1885-07	-0.50
1885-08	-1.13
1885-09	-0.43
1885-10	-1.92
1885-11	-1.48
1885-12	0.46
1886-01	-0.22
1886-02	0.00
1886-03	0.15
1886-04	0.49
1886-05	0.54
1886-06	0.43
1886-07	0.65
1886-08	1.33
1886-09	1.28
1886-10	1.30
1886-11	0.87
1886-12	1.49
1887-01	1.20
1887-02	0.95
1887-03	0.95
1887-04	1.00
1887-05	-0.56
1887-06	0.46
1887-07	0.45
1887-08	0.33
1887-09	0.45
1887-10	0.51
1887-11	-0.60
1887-12	0.46
1888-01	-0.32
1888-02	-0.33
1888-03	-1.47
1888-04	-2.80
1888-05	-1.07
1888-06	-2.16
1888-07	-1.68
1888-08	-1.09
1888-09	-0.94
1888-10	-1.61
1888-11	-1.33
1888-12	-0.39
1889-01	-2.84
1889-02	-0.21
1889-03	-3.20
1889-04	0.07
1889-05	-0.15
1889-06	2.49
1889-07	0.10
1889-08	0.05
1889-09	1.05
1889-10	0.29
1889-11	1.86
1889-12	2.34
1890-01	2.16
1890-02	1.03
1890-03	1.43
1890-04	0.75
1890-05	0.37
1890-06	0.45
1890-07	-0.30
1890-08	-0.42
1890-09	0.88
1890-10	0.17
1890-11	0.18
1890-12	-0.05
1891-01	1.56
1891-02	-0.49
1891-03	-1.22
1891-04	0.70
1891-05	0.38
1891-06	-0.28
1891-07	-0.63
1891-08	-1.20
1891-09	-1.08
1891-10	0.05
1891-11	-0.45
1891-12	-0.62
1892-01	0.20
1892-02	-1.13
1892-03	1.09
1892-04	0.96
1892-05	1.45
1892-06	2.25
1892-07	0.70
1892-08	0.48
1892-09	0.01
1892-10	0.85
1892-11	-0.88
1892-12	0.29
1893-01	0.91
1893-02	0.65
1893-03	0.32
1893-04	1.44
1893-05	1.80
1893-06	2.15
1893-07	1.77
1893-08	0.60
1893-09	1.21
1893-10	0.63
1893-11	0.84
1893-12	-0.50
1894-01	2.15
1894-02	0.97
1894-03	0.82
1894-04	1.10
1894-05	-0.77
1894-06	-0.01
1894-07	0.40
1894-08	-1.40
1894-09	-0.24
1894-10	0.31
1894-11	-0.87
1894-12	0.06
1895-01	0.54
1895-02	0.62
1895-03	-0.26
1895-04	1.34
1895-05	0.75
1895-06	-1.26
1895-07	-0.81
1895-08	-1.02
1895-09	-0.52
1895-10	-0.82
1895-11	-0.42
1895-12	-1.01
1896-01	0.07
1896-02	0.37
1896-03	-0.84
1896-04	-1.19
1896-05	-3.02
1896-06	-2.99
1896-07	-1.43
1896-08	-2.55
1896-09	-1.88
1896-10	-2.01
1896-11	-1.22
1896-12	-1.70
1897-01	-1.42
1897-02	-0.86
1897-03	-2.01
1897-04	-2.00
1897-05	-1.46
1897-06	-0.16
1897-07	-0.25
1897-08	-0.11
1897-09	0.00
1897-10	0.10
1897-11	-0.94
1897-12	1.03
1898-01	0.65
1898-02	0.47
1898-03	2.02
1898-04	1.34
1898-05	-0.04
1898-06	-0.51
1898-07	0.57
1898-08	0.72
1898-09	0.88
1898-10	0.34
1898-11	-0.01
1898-12	0.41
1899-01	1.31
1899-02	0.87
1899-03	1.38
1899-04	0.49
1899-05	-0.69
1899-06	-1.43
1899-07	-0.59
1899-08	-1.18
1899-09	-0.19
1899-10	0.74
1899-11	1.68
1899-12	-0.45
1900-01	-0.89
1900-02	-0.73
1900-03	-2.95
1900-04	-2.10
1900-05	-0.69
1900-06	3.10
1900-07	0.92
1900-08	0.75
1900-09	-1.61
1900-10	-2.13
1900-11	-0.73
1900-12	-0.73
1901-01	-0.09
1901-02	0.21
1901-03	0.88
1901-04	0.64
1901-05	0.14
1901-06	2.30
1901-07	1.41
1901-08	0.80
1901-09	-1.58
1901-10	-2.69
1901-11	-0.91
1901-12	-0.33
1902-01	1.68
1902-02	-0.28
1902-03	1.10
1902-04	1.15
1902-05	1.55
1902-06	0.24
1902-07	0.14
1902-08	-1.09
1902-09	-1.76
1902-10	-0.77
1902-11	-0.21
1902-12	-0.45
1903-01	-1.10
1903-02	-1.11
1903-03	1.80
1903-04	2.18
1903-05	0.97
1903-06	-0.22
1903-07	0.51
1903-08	-0.15
1903-09	0.81
1903-10	0.30
1903-11	-0.05
1903-12	1.65
1904-01	1.39
1904-02	1.53
1904-03	0.89
1904-04	3.64
1904-05	1.01
1904-06	-1.01
1904-07	-0.93
1904-08	-0.11
1904-09	-0.01
1904-10	-0.11
1904-11	-1.76
1904-12	0.17
1905-01	-1.08
1905-02	-1.84
1905-03	-3.51
1905-04	-3.05
1905-05	-1.63
1905-06	-2.29
1905-07	-2.13
1905-08	-0.96
1905-09	-0.70
1905-10	-0.83
1905-11	-1.75
1905-12	-1.58
1906-01	-0.43
1906-02	-0.88
1906-03	-0.56
1906-04	-0.84
1906-05	-0.98
1906-06	-0.71
1906-07	0.59
1906-08	1.43
1906-09	1.75
1906-10	0.81
1906-11	1.92
1906-12	0.29
1907-01	0.56
1907-02	-0.23
1907-03	-0.32
1907-04	-0.84
1907-05	-0.51
1907-06	0.45
1907-07	-0.11
1907-08	-1.05
1907-09	-0.07
1907-10	-0.43
1907-11	-0.56
1907-12	0.64
1908-01	-0.99
1908-02	0.84
1908-03	-0.41
1908-04	1.02
1908-05	0.22
1908-06	-0.63
1908-07	1.34
1908-08	0.20
1908-09	1.67
1908-10	0.72
1908-11	0.09
1908-12	-0.73
1909-01	-0.30
1909-02	-0.40
1909-03	-0.15
1909-04	-1.78
1909-05	0.08
1909-06	2.63
1909-07	0.99
1909-08	0.89
1909-09	0.06
1909-10	0.20
1909-11	0.73
1909-12	0.41
1910-01	0.60
1910-02	1.42
1910-03	1.25
1910-04	0.39
1910-05	0.13
1910-06	2.49
1910-07	1.95
1910-08	0.89
1910-09	1.46
1910-10	1.04
1910-11	1.71
1910-12	1.65
1911-01	0.30
1911-02	0.01
1911-03	0.22
1911-04	0.05
1911-05	-0.65
1911-06	-1.55
1911-07	-1.30
1911-08	-1.41
1911-09	-0.88
1911-10	-1.30
1911-11	-0.77
1911-12	-0.28
1912-01	-1.11
1912-02	-1.83
1912-03	-1.14
1912-04	-2.27
1912-05	-1.00
1912-06	-0.99
1912-07	-0.13
1912-08	-0.94
1912-09	-0.40
1912-10	-0.97
1912-11	0.14
1912-12	-1.01
1913-01	-0.41
1913-02	-0.63
1913-03	0.01
1913-04	-0.79
1913-05	-0.44
1913-06	-0.60
1913-07	-0.19
1913-08	-0.92
1913-09	-0.95
1913-10	-1.02
1913-11	-1.20
1913-12	-0.90
1914-01	-0.74
1914-02	0.18
1914-03	0.88
1914-04	-2.27
1914-05	-1.16
1914-06	-2.64
1914-07	-1.02
1914-08	-1.84
1914-09	-1.47
1914-10	-0.73
1914-11	-0.42
1914-12	0.17
1915-01	-2.71
1915-02	-0.59
1915-03	-2.49
1915-04	-1.49
1915-05	1.30
1915-06	2.68
1915-07	2.40
1915-08	1.30
1915-09	1.34
1915-10	0.95
1915-11	-1.73
1915-12	0.98
1916-01	0.56
1916-02	-0.52
1916-03	-0.83
1916-04	0.01
1916-05	0.39
1916-06	0.75
1916-07	2.45
1916-08	1.51
1916-09	0.42
1916-10	0.36
1916-11	0.76
1916-12	1.60
1917-01	0.46
1917-02	0.98
1917-03	1.86
1917-04	2.58
1917-05	2.39
1917-06	2.39
1917-07	2.69
1917-08	3.48
1917-09	2.84
1917-10	1.51
1917-11	1.91
1917-12	2.39
1918-01	1.46
1918-02	1.58
1918-03	-0.39
1918-04	2.07
1918-05	1.11
1918-06	-0.78
1918-07	-1.42
1918-08	-0.64
1918-09	-0.85
1918-10	-0.62
1918-11	0.04
1918-12	-1.01
1919-01	-1.62
1919-02	-1.19
1919-03	-1.57
1919-04	-0.37
1919-05	-0.93
1919-06	-1.46
1919-07	-0.93
1919-08	-0.90
1919-09	-0.59
1919-10	-1.25
1919-11	-1.19
1919-12	-1.13
1920-01	0.18
1920-02	-0.29
1920-03	-0.63
1920-04	-0.10
1920-05	-0.37
1920-06	0.40
1920-07	0.82
1920-08	0.44
1920-09	0.47
1920-10	-0.69
1920-11	-0.19
1920-12	0.98
1921-01	1.20
1921-02	0.54
1921-03	1.07
1921-04	-1.28
1921-05	-0.02
1921-06	4.07
1921-07	0.21
1921-08	-0.88
1921-09	0.46
1921-10	0.97
1921-11	0.77
1921-12	0.80
1922-01	0.78
1922-02	0.77
1922-03	0.48
1922-04	-0.69
1922-05	-0.75
1922-06	0.45
1922-07	0.15
1922-08	-0.28
1922-09	0.46
1922-10	0.55
1922-11	0.77
1922-12	1.20
1923-01	0.56
1923-02	0.34
1923-03	0.84
1923-04	0.81
1923-05	-0.02
1923-06	-0.17
1923-07	-1.16
1923-08	-2.14
1923-09	-1.46
1923-10	-0.72
1923-11	-1.37
1923-12	0.12
1924-01	-0.68
1924-02	0.01
1924-03	0.11
1924-04	-1.95
1924-05	1.19
1924-06	0.84
1924-07	0.70
1924-08	0.88
1924-09	0.74
1924-10	0.63
1924-11	1.01
1924-12	0.47
1925-01	0.54
1925-02	1.22
1925-03	1.52
1925-04	1.48
1925-05	-0.29
1925-06	-0.82
1925-07	-1.36
1925-08	-1.24
1925-09	-0.66
1925-10	-1.50
1925-11	-0.92
1925-12	-0.90
1926-01	-0.62
1926-02	-1.56
1926-03	-1.65
1926-04	-0.75
1926-05	-0.24
1926-06	-1.05
1926-07	-0.16
1926-08	-0.92
1926-09	0.12
1926-10	0.24
1926-11	0.10
1926-12	0.58
1927-01	0.51
1927-02	0.01
1927-03	1.84
1927-04	0.75
1927-05	0.64
1927-06	0.91
1927-07	0.09
1927-08	-0.75
1927-09	-0.07
1927-10	-0.55
1927-11	-0.88
1927-12	0.74
1928-01	-1.11
1928-02	0.95
1928-03	1.38
1928-04	1.44
1928-05	0.00
1928-06	-1.15
1928-07	-0.09
1928-08	0.80
1928-09	0.74
1928-10	0.77
1928-11	0.24
1928-12	1.20
1929-01	1.74
1929-02	1.69
1929-03	0.41
1929-04	0.58
1929-05	-1.11
1929-06	0.06
1929-07	0.14
1929-08	-0.17
1929-09	-0.07
1929-10	0.80
1929-11	0.94
1929-12	0.52
1930-01	1.31
1930-02	0.68
1930-03	0.04
1930-04	-0.33
1930-05	0.56
1930-06	-0.84
1930-07	-0.46
1930-08	-0.39
1930-09	-0.72
1930-10	0.46
1930-11	0.35
1930-12	-0.28
1931-01	0.63
1931-02	-1.61
1931-03	0.44
1931-04	1.10
1931-05	1.72
1931-06	2.23
1931-07	0.89
1931-08	-0.50
1931-09	0.35
1931-10	-1.00
1931-11	-0.35
1931-12	0.80
1932-01	0.21
1932-02	-0.36
1932-03	-0.72
1932-04	-2.76
1932-05	0.13
1932-06	-0.26
1932-07	-1.56
1932-08	-0.90
1932-09	-0.86
1932-10	-0.69
1932-11	-0.59
1932-12	0.24
1933-01	-1.22
1933-02	0.34
1933-03	-0.35
1933-04	0.47
1933-05	0.78
1933-06	-0.68
1933-07	0.30
1933-08	-0.23
1933-09	0.17
1933-10	0.17
1933-11	0.52
1933-12	0.80
1934-01	0.62
1934-02	-0.06
1934-03	-0.12
1934-04	0.64
1934-05	-0.69
1934-06	1.12
1934-07	0.22
1934-08	-2.44
1934-09	-0.64
1934-10	0.38
1934-11	1.21
1934-12	-0.39
1935-01	0.64
1935-02	-0.56
1935-03	1.21
1935-04	0.37
1935-05	-0.36
1935-06	-0.42
1935-07	-0.09
1935-08	0.00
1935-09	0.59
1935-10	0.60
1935-11	0.32
1935-12	-0.56
1936-01	-0.30
1936-02	-0.04
1936-03	0.05
1936-04	2.81
1936-05	0.25
1936-06	-0.37
1936-07	0.35
1936-08	-1.00
1936-09	0.23
1936-10	-0.11
1936-11	-1.51
1936-12	-0.05
1937-01	0.95
1937-02	-0.59
1937-03	0.55
1937-04	0.18
1937-05	0.28
1937-06	0.22
1937-07	-0.59
1937-08	0.20
1937-09	0.04
1937-10	-0.39
1937-11	-0.46
1937-12	0.63
1938-01	0.75
1938-02	0.21
1938-03	-0.55
1938-04	0.39
1938-05	1.14
1938-06	2.01
1938-07	1.76
1938-08	1.24
1938-09	0.69
1938-10	1.37
1938-11	-0.08
1938-12	1.42
1939-01	1.74
1939-02	0.66
1939-03	1.14
1939-04	1.13
1939-05	-0.05
1939-06	-0.37
1939-07	0.75
1939-08	-0.11
1939-09	-0.95
1939-10	-1.71
1939-11	-0.94
1939-12	-1.07
1940-01	-0.06
1940-02	-0.56
1940-03	-1.34
1940-04	-0.94
1940-05	-1.28
1940-06	-2.49
1940-07	-1.54
1940-08	-2.11
1940-09	-1.95
1940-10	-1.80
1940-11	-0.74
1940-12	-3.39
1941-01	-1.13
1941-02	-1.60
1941-03	-1.33
1941-04	-1.19
1941-05	-0.70
1941-06	-1.89
1941-07	-2.02
1941-08	-2.20
1941-09	-0.83
1941-10	-2.29
1941-11	-1.07
1941-12	-1.07
1942-01	-1.51
1942-02	-0.51
1942-03	-0.80
1942-04	-0.52
1942-05	0.21
1942-06	0.80
1942-07	-0.15
1942-08	0.30
1942-09	0.82
1942-10	0.70
1942-11	-0.64
1942-12	1.42
1943-01	0.88
1943-02	0.91
1943-03	0.29
1943-04	1.59
1943-05	0.27
1943-06	-1.13
1943-07	0.22
1943-08	0.69
1943-09	0.53
1943-10	0.79
1943-11	0.22
1943-12	-1.07
1944-01	-0.95
1944-02	0.30
1944-03	0.46
1944-04	-0.54
1944-05	0.08
1944-06	-0.61
1944-07	-0.90
1944-08	0.13
1944-09	0.22
1944-10	-1.03
1944-11	-0.82
1944-12	0.35
1945-01	0.43
1945-02	0.53
1945-03	1.33
1945-04	-0.73
1945-05	0.07
1945-06	0.80
1945-07	0.31
1945-08	1.06
1945-09	0.80
1945-10	0.21
1945-11	-0.42
1945-12	0.63
1946-01	-0.32
1946-02	0.29
1946-03	-0.38
1946-04	-1.03
1946-05	-1.12
1946-06	-1.32
1946-07	-1.03
1946-08	-0.64
1946-09	-1.58
1946-10	-1.38
1946-11	-0.23
1946-12	-0.73
1947-01	-0.63
1947-02	-0.56
1947-03	1.13
1947-04	-0.56
1947-05	-1.12
1947-06	0.16
1947-07	0.89
1947-08	0.66
1947-09	1.10
1947-10	-0.35
1947-11	0.75
1947-12	0.46
1948-01	-0.43
1948-02	-0.41
1948-03	-0.60
1948-04	0.26
1948-05	0.37
1948-06	-0.76
1948-07	0.02
1948-08	-0.55
1948-09	-0.76
1948-10	0.54
1948-11	0.17
1948-12	-0.73
1949-01	-0.86
1949-02	0.05
1949-03	0.49
1949-04	0.28
1949-05	-0.64
1949-06	-1.60
1949-07	-0.22
1949-08	-0.64
1949-09	0.17
1949-10	0.38
1949-11	-0.75
1949-12	0.75
1950-01	0.54
1950-02	1.58
1950-03	1.79
1950-04	1.67
1950-05	0.52
1950-06	3.06
1950-07	2.02
1950-08	1.14
1950-09	0.63
1950-10	1.68
1950-11	0.85
1950-12	2.45
1951-01	1.32
1951-02	0.47
1951-03	-0.71
1951-04	-1.03
1951-05	-1.20
1951-06	-0.52
1951-07	-1.38
1951-08	-0.75
1951-09	-1.17
1951-10	-1.44
1951-11	-0.95
1951-12	-0.90
1952-01	-0.92
1952-02	-0.83
1952-03	-0.02
1952-04	-0.73
1952-05	0.66
1952-06	0.78
1952-07	0.43
1952-08	-0.38
1952-09	-0.24
1952-10	0.12
1952-11	-0.23
1952-12	-1.41
1953-01	0.12
1953-02	-0.72
1953-03	-0.79
1953-04	-0.18
1953-05	-2.55
1953-06	-0.47
1953-07	-0.12
1953-08	-1.89
1953-09	-1.35
1953-10	-0.18
1953-11	-0.34
1953-12	-0.62
1954-01	0.57
1954-02	-0.52
1954-03	-0.31
1954-04	0.41
1954-05	0.13
1954-06	-0.49
1954-07	0.28
1954-08	0.90
1954-09	0.17
1954-10	0.09
1954-11	0.18
1954-12	1.31
1955-01	-0.68
1955-02	1.30
1955-03	0.13
1955-04	-0.81
1955-05	0.81
1955-06	1.63
1955-07	1.68
1955-08	1.38
1955-09	1.40
1955-10	1.51
1955-11	1.36
1955-12	0.91
1956-01	1.16
1956-02	1.10
1956-03	0.89
1956-04	1.06
1956-05	1.36
1956-06	1.26
1956-07	1.08
1956-08	1.05
1956-09	0.06
1956-10	1.92
1956-11	0.12
1956-12	0.98
1957-01	0.43
1957-02	-0.36
1957-03	-0.37
1957-04	0.05
1957-05	-1.07
1957-06	-0.37
1957-07	0.10
1957-08	-1.08
1957-09	-1.01
1957-10	-0.09
1957-11	-1.19
1957-12	-0.45
1958-01	-1.89
1958-02	-0.78
1958-03	-0.32
1958-04	0.03
1958-05	-1.36
1958-06	-0.27
1958-07	0.15
1958-08	0.72
1958-09	-0.34
1958-10	-0.56
1958-11	-0.59
1958-12	-0.84
1959-01	-0.94
1959-02	-1.50
1959-03	0.77
1959-04	0.35
1959-05	0.14
1959-06	-0.96
1959-07	-0.53
1959-08	-0.68
1959-09	-0.01
1959-10	0.34
1959-11	0.89
1959-12	0.80
1960-01	-0.05
1960-02	-0.25
1960-03	0.47
1960-04	0.79
1960-05	0.28
1960-06	-0.47
1960-07	0.41
1960-08	0.53
1960-09	0.65
1960-10	-0.20
1960-11	0.61
1960-12	0.63
1961-01	-0.43
1961-02	0.58
1961-03	-2.47
1961-04	1.15
1961-05	0.22
1961-06	-0.53
1961-07	0.11
1961-08	-0.16
1961-09	0.11
1961-10	-0.73
1961-11	0.70
1961-12	1.31
1962-01	1.72
1962-02	-0.41
1962-03	-0.32
1962-04	0.30
1962-05	1.09
1962-06	0.37
1962-07	-0.11
1962-08	0.26
1962-09	0.53
1962-10	0.95
1962-11	0.27
1962-12	-0.11
1963-01	0.80
1963-02	0.26
1963-03	0.66
1963-04	0.51
1963-05	0.14
1963-06	-1.30
1963-07	-0.20
1963-08	-0.43
1963-09	-0.60
1963-10	-1.46
1963-11	-0.88
1963-12	-1.36
1964-01	-0.53
1964-02	-0.13
1964-03	0.71
1964-04	1.78
1964-05	-0.01
1964-06	0.72
1964-07	0.53
1964-08	1.32
1964-09	1.29
1964-10	1.26
1964-11	-0.06
1964-12	-0.50
1965-01	-0.52
1965-02	0.01
1965-03	0.24
1965-04	-1.34
1965-05	0.01
1965-06	-1.63
1965-07	-2.34
1965-08	-1.37
1965-09	-1.41
1965-10	-1.22
1965-11	-2.14
1965-12	0.01
1966-01	-1.36
1966-02	-0.54
1966-03	-1.75
1966-04	-0.90
1966-05	-0.60
1966-06	0.14
1966-07	-0.22
1966-08	0.19
1966-09	-0.24
1966-10	-0.33
1966-11	-0.19
1966-12	-0.62
1967-01	1.52
1967-02	1.20
1967-03	0.65
1967-04	-0.12
1967-05	-0.36
1967-06	0.67
1967-07	0.10
1967-08	0.44
1967-09	0.44
1967-10	-0.17
1967-11	-0.55
1967-12	-0.79
1968-01	0.47
1968-02	0.77
1968-03	-0.56
1968-04	-0.31
1968-05	1.16
1968-06	1.27
1968-07	0.68
1968-08	-0.20
1968-09	-0.36
1968-10	-0.35
1968-11	-0.41
1968-12	0.12
1969-01	-1.36
1969-02	-0.85
1969-03	-0.03
1969-04	-0.90
1969-05	-0.73
1969-06	-0.24
1969-07	-0.78
1969-08	-0.71
1969-09	-1.10
1969-10	-1.35
1969-11	-0.16
1969-12	0.23
1970-01	-1.26
1970-02	-1.22
1970-03	0.06
1970-04	-0.56
1970-05	0.05
1970-06	1.02
1970-07	-0.58
1970-08	0.31
1970-09	1.18
1970-10	0.74
1970-11	1.82
1970-12	1.82
1971-01	0.23
1971-02	1.44
1971-03	1.98
1971-04	2.58
1971-05	0.88
1971-06	0.21
1971-07	0.09
1971-08	1.42
1971-09	1.51
1971-10	1.75
1971-11	0.55
1971-12	0.13
1972-01	0.33
1972-02	0.67
1972-03	0.13
1972-04	-0.46
1972-05	-2.16
1972-06	-1.68
1972-07	-1.88
1972-08	-1.12
1972-09	-1.48
1972-10	-1.13
1972-11	-0.35
1972-12	-1.47
1973-01	-0.43
1973-02	-1.47
1973-03	-0.06
1973-04	-0.37
1973-05	0.27
1973-06	1.22
1973-07	0.54
1973-08	1.18
1973-09	1.27
1973-10	0.85
1973-11	2.78
1973-12	1.76
1974-01	2.16
1974-02	1.49
1974-03	2.10
1974-04	1.27
1974-05	1.27
1974-06	0.14
1974-07	1.13
1974-08	0.56
1974-09	1.16
1974-10	0.72
1974-11	-0.43
1974-12	0.07
1975-01	-0.62
1975-02	0.46
1975-03	1.14
1975-04	1.48
1975-05	0.51
1975-06	1.69
1975-07	2.01
1975-08	2.03
1975-09	2.15
1975-10	1.67
1975-11	1.24
1975-12	2.05
1976-01	1.19
1976-02	1.18
1976-03	1.33
1976-04	0.24
1976-05	0.59
1976-06	-0.16
1976-07	-1.28
1976-08	-1.46
1976-09	-1.29
1976-10	0.13
1976-11	0.75
1976-12	-0.50
1977-01	-0.39
1977-02	0.65
1977-03	-1.20
1977-04	-1.17
1977-05	-1.13
1977-06	-2.33
1977-07	-1.50
1977-08	-1.42
1977-09	-0.95
1977-10	-1.39
1977-11	-1.51
1977-12	-1.24
1978-01	-0.48
1978-02	-2.63
1978-03	-0.82
1978-04	-0.88
1978-05	1.43
1978-06	0.40
1978-07	0.44
1978-08	0.12
1978-09	0.06
1978-10	-0.76
1978-11	-0.25
1978-12	-0.22
1979-01	-0.45
1979-02	0.61
1979-03	-0.49
1979-04	-0.65
1979-05	0.50
1979-06	0.58
1979-07	1.34
1979-08	-0.69
1979-09	0.11
1979-10	-0.37
1979-11	-0.59
1979-12	-0.90
1980-01	0.28
1980-02	-0.02
1980-03	-1.06
1980-04	-1.60
1980-05	-0.30
1980-06	-0.68
1980-07	-0.21
1980-08	-0.06
1980-09	-0.54
1980-10	-0.34
1980-11	-0.45
1980-12	-0.22
1981-01	0.27
1981-02	-0.47
1981-03	-2.01
1981-04	-0.60
1981-05	0.82
1981-06	1.28
1981-07	0.78
1981-08	0.40
1981-09	0.52
1981-10	-0.71
1981-11	0.08
1981-12	0.40
1982-01	0.87
1982-02	-0.03
1982-03	0.05
1982-04	-0.46
1982-05	-0.65
1982-06	-2.49
1982-07	-1.92
1982-08	-2.66
1982-09	-2.12
1982-10	-2.20
1982-11	-3.17
1982-12	-2.49
1983-01	-3.36
1983-02	-3.46
1983-03	-3.25
1983-04	-1.41
1983-05	0.86
1983-06	-0.58
1983-07	-0.75
1983-08	-0.37
1983-09	0.91
1983-10	0.34
1983-11	-0.08
1983-12	-0.17
1984-01	-0.03
1984-02	0.43
1984-03	-0.85
1984-04	0.39
1984-05	0.01
1984-06	-1.22
1984-07	0.05
1984-08	0.10
1984-09	0.17
1984-10	-0.61
1984-11	0.14
1984-12	-0.26
1985-01	-0.55
1985-02	0.79
1985-03	0.20
1985-04	0.91
1985-05	-0.20
1985-06	-1.39
1985-07	-0.26
1985-08	0.66
1985-09	0.00
1985-10	-0.76
1985-11	-0.34
1985-12	0.12
1986-01	0.82
1986-02	-1.28
1986-03	-0.09
1986-04	0.11
1986-05	-0.56
1986-06	1.01
1986-07	0.16
1986-08	-0.85
1986-09	-0.53
1986-10	0.54
1986-11	-1.54
1986-12	-1.64
1987-01	-0.75
1987-02	-1.41
1987-03	-2.03
1987-04	-2.69
1987-05	-1.98
1987-06	-2.69
1987-07	-1.84
1987-08	-1.67
1987-09	-1.13
1987-10	-0.69
1987-11	-0.06
1987-12	-0.67
1988-01	-0.31
1988-02	-0.65
1988-03	0.13
1988-04	-0.03
1988-05	1.11
1988-06	-0.20
1988-07	1.07
1988-08	1.36
