Month 	AQI 	Scope 	Quality level 	PM2.5 	PM10 	CO 	No 2 	SO2 	O3
2019-02 	80 	32-180 	Liang 	53 	72 	0.807 	35 	6 	65
2019-03 	85 	39 to 233 	Liang 	52 	80 	0.635 	39 	5 	86
2019-04 	84 	39 to 171 	Liang 	48 	91 	0.547 	34 	4 	103
2019-05 	93 	47 to 195 	Liang 	37 	78 	0.503 	34 	4 	143
2019-06 	121 	36 to 193 	Mild contamination 	39 	60 	0.713 	27 	4 	179
2019-07 	108 	33 to 173 	Mild contamination 	37 	50 	0.661 	27 	3 	159
2019-08 	72 	28 to 150 	Liang 	23 	37 	0.571 	26 	3 	118
2019-09 	97 	33 to 178 	Liang 	36 	58 	0.67 	33 	3 	151
2019-10 	68 	23 to 163 	Liang 	40 	66 	0.681 	41 	3 	42
2019-11 	76 	30 to 183 	Liang 	44 	78 	0.797 	48 	5 	32
2019-12 	73 	28 to 233 	Liang 	44 	60 	0.845 	46 	4 	37
2020-01 	86 	30 to 221 	Liang 	59 	65 	0.955 	40 	6 	53
2020-02 	89 	34 to 257 	Liang 	62 	57 	0.883 	27 	4 	66
2020-03 	63 	36 to 153 	Liang 	35 	53 	0.484 	25 	4 	84
2020-04 	75 	42 to 202 	Liang 	31 	67 	0.403 	22 	4 	119
2020-05 	85 	36 to 204 	Liang 	36 	62 	0.603 	23 	4 	124
2020-06 	116 	60 to 202 	Mild contamination 	32 	67 	0.567 	23 	3 	174
2020-07 	99 	48 to 152 	Liang 	41 	47 	0.671 	21 	3 	150
2020-08 	80 	27 to 135 	Liang 	28 	41 	0.645 	22 	3 	131
2020-09 	56 	22 to 158 	Liang 	24 	35 	0.537 	26 	3 	96
2020-10 	72 	26 to 185 	Liang 	42 	70 	0.561 	41 	3 	60
2020-11 	66 	26 to 140 	Liang 	37 	62 	0.653 	42 	3 	41
2020-12 	56 	27 to 97 	Liang 	28 	56 	0.619 	38 	5 	40
2021-01 	72 	30 to 176 	Liang 	33 	55 	0.69 	31 	4 	49
2021-02 	94 	36 to 257 	Liang 	61 	75 	0.804 	28 	4 	73
2021-03 	149 	34 to 500 	Mild contamination 	64 	66 	0.703 	35 	3 	71
2021-04 	71 	41 to 187 	Liang 	29 	59 	0.437 	27 	3 	106
2021-05 	84 	38 to 253 	Liang 	18 	49 	0.419 	21 	3 	122
2021-06 	85 	36 to 191 	Liang 	19 	43 	0.533 	19 	3 	139
2021-07 	71 	29 to 125 	Liang 	16 	32 	0.574 	14 	2 	121
2021-08 	72 	38 to 125 	Liang 	18 	36 	0.594 	15 	3 	124
2021-09 	57 	25 to 108 	Liang 	18 	36 	0.63 	21 	3 	99
2021-10 	50 	20 to 153 	Excellent 	25 	43 	0.471 	30 	3 	58
2021-11 	75 	29 to 193 	Liang 	44 	65 	0.643 	36 	3 	42
2021-12 	55 	28 to 123 	Liang 	27 	52 	0.581 	36 	3 	40
2022-01 	68 	29 to 198 	Liang 	45 	52 	0.742 	34 	3 	45
2022-02 	47 	35 to 84 	Excellent 	22 	37 	0.436 	20 	3 	72
2022-03 	70 	36 to 205 	Liang 	39 	72 	0.526 	27 	3 	80
2022-04 	74 	38 to 128 	Liang 	34 	75 	0.453 	22 	3 	115
2022-05 	86 	36 to 178 	Liang 	21 	50 	0.355 	17 	3 	138
2022-06 	102 	44 to 205 	Mild contamination 	23 	46 	0.563 	14 	3 	158
2022-07 	86 	45 to 161 	Liang 	19 	35 	0.468 	15 	3 	142
2022-08 	67 	26 to 120 	Liang 	19 	34 	0.465 	15 	3 	115
2022-09 	91 	33 to 157 	Liang 	30 	62 	0.51 	24 	3 	145
2022-10 	65 	23 to 142 	Liang 	40 	69 	0.461 	29 	3 	67
2022-11 	71 	24-156 	Liang 	45 	75 	0.55 	32 	3 	46
2022-12 	57 	28 to 500 	Liang 	21 	62 	0.329 	24 	2 	51
2023-01 	61 	29 to 117 	Liang 	32 	68 	0.429 	26 	3 	54
2023-02 	80 	26 to 186 	Liang 	54 	81 	0.575 	36 	3 	59
2023-03 	117 	40 to 500 	Mild contamination 	60 	147 	0.519 	32 	3 	93
2023-04 	105 	33 to 475 	Mild contamination 	43 	132 	0.34 	23 	3 	97
2023-05 	91 	37 to 170 	Liang 	31 	72 	0.452 	20 	3 	138
2023-06 	112 	49 to 203 	Mild contamination 	20 	45 	0.39 	19 	3 	170
2023-07 	93 	19 to 181 	Liang 	19 	36 	0.458 	15 	3 	147
2023-08 	71 	30 to 123 	Liang 	22 	38 	0.494 	15 	3 	122
2023-09 	70 	29 to 118 	Liang 	29 	48 	0.52 	22 	3 	115
2023-10 	64 	29 to 178 	Liang 	36 	67 	0.519 	31 	3 	79
2023-11 	56 	25 to 170 	Liang 	29 	60 	0.44 	27 	2 	51
2023-12 	68 	16 to 173 	Liang 	41 	80 	0.661 	39 	3 	20
2024-01 	61 	28 to 124 	Liang 	37 	61 	0.59 	37 	3 	46
2024-02 	61 	32-144 	Liang 	39 	61 	0.5 	22 	3 	72
2024-03 	78 	37 to 199 	Liang 	43 	96 	0.494 	28 	3 	83
2024-04 	76 	27 to 145 	Liang 	40 	88 	0.503 	27 	3 	108
2024-05 	93 	33 to 179 	Liang 	29 	67 	0.435 	21 	3 	144
2024-06 	122 	51 to 182 	Mild contamination 	28 	63 	0.477 	19 	3 	178
2024-07 	89 	35 to 155 	Liang 	27 	40 	0.535 	13 	3 	145
2024-08 	67 	33 to 117 	Liang 	16 	28 	0.503 	14 	3 	118
2024-09 	48 	23 to 94 	Excellent 	17 	31 	0.473 	18 	3 	85
2024-10 	66 	28 to 203 	Liang 	42 	66 	0.565 	30 	3 	66
2024-11 	67 	24-160 	Liang 	42 	67 	0.57 	32 	3 	48
2024-12 	43 	28 to 74 	Excellent 	18 	39 	0.39 	27 	3 	52
2025-01 	53 	29 to 139 	Liang 	29 	51 	0.506 	25 	4 	56
2025-02 	53 	32-128 	Liang 	26 	48 	0.468 	22 	4 	72
2025-03 	75 	40 to 207 	Liang 	39 	78 	0.526 	23 	4 	91
2025-04 	65 	36 to 105 	Liang 	28 	66 	0.48 	22 	5 	110
2025-05 	91 	42 to 182 	Liang 	32 	61 	0.529 	20 	4 	145
2025-06 	105 	43 to 196 	Mild contamination 	24 	45 	0.503 	17 	4 	162
2025-07 	72 	35 to 130 	Liang 	18 	29 	0.5 	13 	3 	124
2025-08 	64 	38 to 119 	Liang 	17 	27 	0.552 	12 	3 	115
2025-09 	61 	27 to 111 	Liang 	20 	38 	0.49 	20 	3 	109
2025-10 	53 	19 to 180 	Liang 	32 	50 	0.535 	25 	3 	58
2025-11 	61 	23 to 168 	Liang 	35 	67 	0.54 	34 	4 	50
2025-12 	55 	25 to 179 	Liang 	32 	56 	0.6 	33 	4 	44
2026-01 	50 	28 to 112 	Excellent 	28 	53 	0.587 	31 	4 	50
2026-02 	59 	33 to 135 	Liang 	34 	65 	0.564 	23 	4 	72
2026-03 	81 	38 to 145 	Liang 	50 	71 	0.642 	27 	4 	78
